source_table,target_table,fk_count,sample_source_columns
Crm.Debits,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.Deliveries,Crm.Contracts,1,OffsettingContractUid
Crm.Deliveries,Crm.MortgageTypes,1,MortgageTypeUid
Crm.Deliveries,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.DeliveryCallHistories,Crm.DeliveryCalls,1,DeliveryCallUid
Crm.DeliveryCallHistories,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.DeliveryCallNotes,Crm.DeliveryCalls,1,DeliveryCallUid
Crm.DeliveryCallNotes,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.DeliveryCalls,Crm.Contracts,1,ContractUid
Crm.DeliveryCalls,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.DeliveryDocumentApprovals,Crm.Contracts,1,ContractUid
Crm.DeliveryDocumentApprovals,Crm.FileTypes,1,FileTypeUid
Crm.DeliveryDocumentApprovals,Crm.Files,1,FileUid
Crm.DeliveryEmployees,Crm.Organizations,1,OrganizationUid
Crm.DeliveryEmployees,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.DeliveryFiles,Crm.Contracts,1,ContractUid
Crm.DeliveryFiles,Crm.FileTypes,1,FileTypeUid
Crm.DeliveryFiles,Crm.Files,1,FileUid
Crm.DeliveryFiles,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.DeliveryPayments,Crm.MortgageTypes,1,MortgageTypeUid
Crm.DeliveryPayments,Crm.Users,4,"CreatedBy, DeletedBy, DeliveryApporovalUserUid, UpdatedBy"
Crm.DeliveryRanges,Crm.Products,1,ProductUid
Crm.DeliveryRanges,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.DeliveryWorkAdvances,Crm.Users,4,"CreatedBy, DeletedBy, UpdatedBy, UserUid"
Crm.Distraints,Crm.Contracts,1,ContractUid
Crm.Distraints,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.Documents,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
Crm.DrawCodes,Crm.Activities,1,ActivityUid
Crm.DrawCodes,Crm.Contracts,1,ContractUid
Crm.DrawCodes,Crm.Draws,1,DrawUid
Crm.DrawCodes,Crm.Users,3,"CreatedBy, DeletedBy, UpdatedBy"
