constraint,source_table,source_columns,target_table
FK_ContractLeavings_Users_CreatedBy,Crm.ContractLeavings,CreatedBy,Crm.Users
FK_ContractLeavings_Users_DeletedBy,Crm.ContractLeavings,DeletedBy,Crm.Users
FK_ContractLeavings_Users_UpdatedBy,Crm.ContractLeavings,UpdatedBy,Crm.Users
FK_ContractProductDeliveryRange_Users_CreatedBy,Crm.ContractProductDeliveryRange,CreatedBy,Crm.Users
FK_ContractProductDeliveryRange_Users_DeletedBy,Crm.ContractProductDeliveryRange,DeletedBy,Crm.Users
FK_ContractProductDeliveryRange_Users_UpdatedBy,Crm.ContractProductDeliveryRange,UpdatedBy,Crm.Users
FK_ContractProducts_Users_CreatedBy,Crm.ContractProducts,CreatedBy,Crm.Users
FK_ContractProducts_Users_DeletedBy,Crm.ContractProducts,DeletedBy,Crm.Users
FK_ContractRevisions_Users_CreatedByUserUid,Crm.ContractRevisions,CreatedByUserUid,Crm.Users
FK_ContractRevisions_Users_DeletedByUserUid,Crm.ContractRevisions,DeletedByUserUid,Crm.Users
FK_ContractRevisions_Users_UpdatedByUserUid,Crm.ContractRevisions,UpdatedByUserUid,Crm.Users
FK_ContractTemplate_Users_CreatedBy,Crm.ContractTemplate,CreatedBy,Crm.Users
FK_ContractTemplate_Users_DeletedBy,Crm.ContractTemplate,DeletedBy,Crm.Users
FK_ContractTemplate_Users_UpdatedBy,Crm.ContractTemplate,UpdatedBy,Crm.Users
FK_ContractTemplateVariables_Users_CreatedBy,Crm.ContractTemplateVariables,CreatedBy,Crm.Users
FK_ContractTemplateVariables_Users_DeletedBy,Crm.ContractTemplateVariables,DeletedBy,Crm.Users
FK_CostForms_Users_CreatedBy,Crm.CostForms,CreatedBy,Crm.Users
FK_CostForms_Users_DeletedBy,Crm.CostForms,DeletedBy,Crm.Users
FK_CostForms_Users_UpdatedBy,Crm.CostForms,UpdatedBy,Crm.Users
FK_CostItems_Users_CreatedBy,Crm.CostItems,CreatedBy,Crm.Users
FK_CostItems_Users_DeletedBy,Crm.CostItems,DeletedBy,Crm.Users
FK_CostItems_Users_UpdatedBy,Crm.CostItems,UpdatedBy,Crm.Users
FK_CostTypes_Users_CreatedBy,Crm.CostTypes,CreatedBy,Crm.Users
FK_CostTypes_Users_DeletedBy,Crm.CostTypes,DeletedBy,Crm.Users
FK_CostTypes_Users_UpdatedBy,Crm.CostTypes,UpdatedBy,Crm.Users
FK_Costs_Users_CreatedBy,Crm.Costs,CreatedBy,Crm.Users
FK_Costs_Users_DeletedBy,Crm.Costs,DeletedBy,Crm.Users
FK_Costs_Users_UpdatedBy,Crm.Costs,UpdatedBy,Crm.Users
FK_CustomerLoginFaileds_Users_CreatedBy,Crm.CustomerLoginFaileds,CreatedBy,Crm.Users
FK_CustomerLoginFaileds_Users_DeletedBy,Crm.CustomerLoginFaileds,DeletedBy,Crm.Users
FK_CustomerLoginFaileds_Users_UpdatedBy,Crm.CustomerLoginFaileds,UpdatedBy,Crm.Users
FK_CustomerLoginSmsFaileds_Users_CreatedBy,Crm.CustomerLoginSmsFaileds,CreatedBy,Crm.Users
