source_table,target_table,fk_count,sample_source_columns
Crm.MortgageCosts,Crm.Mortgages,1,MortgageUid
Crm.MortgageInsurances,Crm.Mortgages,1,MortgageUid
Crm.MortgageLogs,Crm.Mortgages,1,MortgageUid
Crm.MortgagePledgeVehicleBrandModels,Crm.MortgagePledgeVehicleBrands,1,MortgagePledgeVehicleBrandUid
Crm.MortgagePrePledges,Crm.MortgagePledges,1,MortgagePledgeUid
Crm.Mortgages,Crm.Contracts,1,ContractUid
Crm.Mortgages,Crm.MortgageTypes,1,MortgageTypeUid
Crm.Mortgages,Crm.Mortgages,1,ParentUid
Crm.NotaryLists,Crm.Contracts,1,ContractUid
Crm.NotaryLists,Crm.NotaryResults,1,NotaryResultUid
Crm.NotaryResults,Crm.Groups,1,GroupUid
Crm.NotaryResults,Crm.Users,1,ApproveControllerUid
Crm.NotificationGroupSubscriber,Crm.NotificationGroups,1,GroupUid
Crm.NotificationGroupSubscriber,Crm.Reps,1,RepUid
Crm.NotificationGroups,Crm.Users,1,LastSenderUid
Crm.NotificationLogs,Crm.NotificationGroups,1,NotificationGroupUid
Crm.OffsetLogs,Crm.Customers,1,CustomerUid
Crm.Opportunities,Crm.Areas,1,CityUid
Crm.Opportunities,Crm.CustomerSources,1,CustomerSourceUid
Crm.Opportunities,Crm.Customers,2,"CustomerUid, CustomerUid1"
Crm.Opportunities,Crm.Leads,1,LeadUid
Crm.Opportunities,Crm.Occupations,1,OccupationUid
Crm.Opportunities,Crm.Portfolios,1,PortfolioUid
Crm.OrganizationAreas,Crm.Areas,1,AreaUid
Crm.OrganizationAreas,Crm.Organizations,1,OrganizationUid
Crm.OrganizationHistories,Crm.Organizations,2,"OrganizationUid, ParentUid"
Crm.OrganizationMonthlyTargets,Crm.Organizations,1,OrganizationUid
Crm.Organizations,Crm.Areas,4,"CityUid, CountryUid, HomeTownUid, TownUid"
Crm.Organizations,Crm.Firms,1,FirmUid
Crm.Organizations,Crm.Organizations,1,ParentUid
Crm.Organizations,Crm.Users,1,ManagerUid
Crm.Performances,Crm.Users,1,UserUid
Crm.Portfolios,Crm.Organizations,1,OrganizationUid
Crm.PosPayments,Crm.Contracts,1,ContractUid
Crm.PosPayments,Crm.Organizations,1,OrganizationUid
Crm.PremiumBranchRates,Crm.BranchCategories,1,BranchCategoryUid
Crm.PremiumContracts,Crm.Contracts,1,ContractUid
Crm.PremiumContracts,Crm.PremiumTimings,1,PremiumTimingUid
Crm.PremiumContracts,Crm.Premiums,1,PremiumUid
Crm.PremiumItems,Crm.Installments,1,InstallmentUid
Crm.PremiumItems,Crm.PremiumContracts,1,PremiumContractUid
Crm.PremiumItems,Crm.Premiums,1,PremiumUid
Crm.PremiumItems,Crm.Users,1,OwnerUid
Crm.PremiumTimings,Crm.PremiumTimingGroups,1,PremiumTimingGroupUid
Crm.PremiumTimings,Crm.Products,1,ProductUid
Crm.PremiumUserTypeRates,Crm.Roles,1,RoleUid
Crm.Premiums,Crm.BranchCategories,1,BranchCategoryUid
Crm.Premiums,Crm.Organizations,1,OrganizationUid
Crm.Premiums,Crm.PremiumTimingGroups,1,PremiumTimingGroupUid
Crm.Premiums,Crm.PremiumUserTypeRates,1,PremiumUserTypeRateUid
Crm.Premiums,Crm.Roles,1,RoleUid
Crm.Premiums,Crm.Users,1,OwnerUid
Crm.Products,Crm.VariableIndexGroups,1,VariableIndexGroupUid
Crm.QualityAnswers,Crm.Activities,1,ActivityUid
Crm.QualityAnswers,Crm.QualityForms,1,QualityFormUid
Crm.QualityAnswers,Crm.QualityQuestions,1,QualityQuestionUid
Crm.QualityAnswers,Crm.Users,1,UserUid
Crm.QualityForms,Crm.Users,1,UserUid
Crm.QualityNotes,Crm.Activities,1,ActivityUid
Crm.QualityNotes,Crm.QualityForms,1,QualityFormUid
Crm.QualityQuestions,Crm.QualityForms,1,QualityFormUid
Crm.QualityQuestions,Crm.Users,1,UserUid
Crm.RepCampaigns,Crm.Reps,1,RepUid
Crm.RepContracts,Crm.Contracts,1,ContractUid
Crm.RepContracts,Crm.Reps,1,RepUid
Crm.RepIbans,Crm.Reps,1,RepUid
Crm.RepPaymentDetails,Crm.RepPayments,1,RepPaymentUid
Crm.RepPaymentDetails,Crm.RepPointLogs,1,RepPointLogUid
Crm.RepPayments,Crm.Reps,1,RepUid
Crm.RepPointLogs,Crm.Activities,1,ActivityUid
Crm.RepPointLogs,Crm.Contracts,1,ContractUid
Crm.RepPointLogs,Crm.CustomerLogins,1,CustomerLoginUid
Crm.RepPointLogs,Crm.RepPoints,1,RepPointUid
Crm.Reps,Crm.Areas,2,"CityUid, TownUid"
Crm.Reps,Crm.Organizations,1,OrganizationUid
Crm.Reps,Crm.Portfolios,1,PortfolioUid
Crm.Reps,Crm.Reps,1,ParentUid
Crm.Reps,Crm.Users,1,OwnerUserUid
Crm.RiskTrackings,Crm.Organizations,2,"OrganizationUid, RegionUid"
Crm.RiskTrackings,Crm.RiskTrackingLawyers,1,RiskTrackingLawyerUid
Crm.RoleTargets,Crm.Roles,1,RoleUid
Crm.ServiceRateRanges,Crm.Products,1,ProductUid
Crm.SetOffLogs,Crm.Customers,1,CustomerUid
Crm.Simulations,Crm.Customers,1,CustomerUid
Crm.Simulations,Crm.Simulations,1,SimulationUid
Crm.Simulations,Crm.Users,1,OwnerUid
Crm.SmsGroups,Crm.SmsTemplates,1,SmsTemplateUid
Crm.SmsLogs,Crm.Contracts,1,ContractUid
Crm.SmsLogs,Crm.Customers,1,CustomerUid
Crm.SmsLogs,Crm.Leads,1,LeadUid
Crm.SmsLogs,Crm.Opportunities,1,OpportunityUid
Crm.SmsLogs,Crm.SmsGroups,1,SmsGroupUid
Crm.SmsVerificationCodes,Crm.Leads,1,LeadUid
Crm.SustainabilityReports,Crm.Contracts,1,ContractUid
Crm.SustainabilityReports,Crm.MortgagePledges,1,MortgagePledgeUid
Crm.SustainabilityReports,Crm.MortgageTypes,1,MortgageTypeUid
Crm.SustainabilityReports,Crm.Mortgages,1,MortgagesUid
Crm.SustainabilityReports,Crm.SustainabilityFeatureValues,1,FeatureValueUid
Crm.TicketHistories,Crm.Tickets,1,TicketUid
Crm.Tickets,Crm.Organizations,1,DepartmentUid
Crm.Tickets,Crm.Users,2,"OwnerUid, RequestingPersonUid"
Crm.UnauthorizedProcessLogs,Crm.Organizations,1,OrganizationUid
Crm.UnauthorizedProcessLogs,Crm.Users,1,UserUid
Crm.UserHistories,Crm.Organizations,1,OrganizationUid
Crm.UserHistories,Crm.Portfolios,1,PortfolioUid
Crm.UserHistories,Crm.Roles,1,RoleUid
Crm.UserHistories,Crm.Users,1,UserUid
Crm.UserPortfolios,Crm.Portfolios,1,PortfolioUid
Crm.UserPortfolios,Crm.Users,1,UserUid1
Crm.UserResponsibleBranches,Crm.Organizations,2,"BranchUid, OrganizationUid"
Crm.UserResponsibleBranches,Crm.Roles,1,RoleUid
Crm.UserResponsibleBranches,Crm.Users,1,UserUid
Crm.UserRoles,Crm.Roles,1,RoleUid
Crm.UserRoles,Crm.Users,1,UserUid
Crm.UserTargets,Crm.Users,1,UserUid
Crm.Users,Crm.Organizations,1,OrganizationUid
Crm.VariableIndexs,Crm.VariableIndexGroups,1,VariableIndexGroupUid
